"text","concept","organization","pred_concept","concept_predprob","pred_organization"
"People join unions for a variety of reasons, but they often do not wish to give money to the Labour party. There should be a simple principle that if a union wishes to give the party money, its members should be able actively to choose to do so, in much the same way as if they were making a direct donation to the party. I see no unfairness in that. I am simply saying that if people support the Labour party, they should be able to choose to give it money.","POLIT","Conservative Party","POLIT","1.0000","Conservative Party"
"Thirdly, the Bill works to redress the balance between striking and non-striking workers through the proposals to minimise the disruption caused by strike action. It is perfectly sensible to require 14 days� notice of a strike. It would also be sensible, for example, that if the teachers at my daughter�s school were to go on strike, agency workers could be brought in so that my children�s education would not be disrupted.","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
"Similarly, it would be  sensible to bring in agency workers so that commuters from my constituency would not be disrupted by a transport strike. That would not be cost-free to the employer, who would have to pay high rates to employ agency workers at short notice.","REPLIC","Conservative Party","REPLIC","1.0000","Conservative Party"
"Interestingly, given where the Labour party is at this stage, Labour Members have a choice: are they going to embrace the modern world and be on the side of workers�people in their constituencies who go out to work every day and do not want to be disrupted �or are they going to go back to the same old arguments that we thought had been settled 20 or 30 years ago? Interestingly, the measures taken then have never been repealed by the Labour party. I am absolutely clear which side I am on and which side the Conservative party is on. We are on the side of ordinary, hard-working people, while maintaining the right to strike. That is why I shall be voting in favour of this legislation.","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
"I also come here, however, as someone who knows that the most challenging situations and all the difficult discussions were entirely more productive and more effective, and carried more weight, because they were dealt with in partnership with trade unions. I did not always agree with my trade union counterparts, and they certainly did not always agree with me, but that is surely the point: sometimes there will be different perspectives, and that is entirely healthy and appropriate. It is clear that when tough decisions have to be made, communication is the key to an effective and productive workplace culture. We do need to accept, however, that occasionally we will not agree, no matter how much discussion we have had�that is a fact of life�and no Bill will make employers and staff agree on everything.","RELATE","Scottish National Party","RELATE","1.0000","Scottish National Party"
"What this Bill will do is: ensure that any disagreement is squashed by management, without any constructive dialogue, render any dialogue that there is futile, and ensure that the important and constructive voices of staff are lost, drowned in a welter of arguments about  minutiae of process or brushed aside. This Bill is a recipe for turning disagreement into conflict, and for escalating a short-term problem into a fundamental break in relationships in the workplace.","RELATE","Scottish National Party","RELATE","1.0000","Scottish National Party"
"Interfering in the employment relationship with this restrictive and provocative Bill is a backward step. It appears to be driven more by ideology, and by malice towards trade unions and their members, than by any desire to improve industrial relations","POLIT","Scottish National Party","POLIT","1.0000","Scottish National Party"
"We have already heard about the leading academics in industrial relations who wrote to the newspapers describing the proposals as �draconian� and �perverse�.","JUST","Scottish National Party","JUST","1.0000","Scottish National Party"
"They recognise the positive contributions of unions to performance, improvement and innovation in the workplace, and they decry the Government�s proposals as undermining the ability of unions to protect terms and conditions, and leading to the loss of employee voice.","AUTONOMY","Scottish National Party","AUTONOMY","1.0000","Scottish National Party"
"They are right to point out that this Bill will also have an impact on those who are not members of trade unions. They say that

�it will feed into the labour market by increasing endemic low pay and insecure terms and conditions of employment among non-unionised workers.�","ECONOMIC","Scottish National Party","ECONOMIC","1.0000","Scottish National Party"
"Even the Chancellor is now persuaded that low pay is a problem that we have to grapple with, so we must wonder why the Government are so keen to introduce this Bill.","REPLIC","Scottish National Party","REPLIC","1.0000","Scottish National Party"
"If they were serious about looking at the relationships between employees and their representatives, they would focus on how to engage and involve employees and unions in increasing productivity, through fairer and supportive rights for workers.","RELATE","Scottish National Party","RELATE","1.0000","Scottish National Party"
"If we look at the current levels of industrial action, as summarised by the Library, we see that it is difficult to fathom what reasons, other than ideological ones, the Government can possibly have for seeking to make these changes. ","POLIT","Scottish National Party","POLIT","1.0000","Scottish National Party"
"The Government sell themselves as being interested in productivity and business, but these proposals run entirely contrary to that ethos. The Bill introduces unnecessary new and complex bureaucracy: it will increase costs for unions and employers, as legal disputes develop, and it undermines social justice.","AUTONOMY","Scottish National Party","AUTONOMY","1.0000","Scottish National Party"
"The issues that affect people in a strike come from a breakdown in a partnership between those who operate businesses and the people who work within them. ","RELATE","Conservative Party","RELATE","1.0000","Conservative Party"
"In the last four years of the last millennium�1996 to 1999�there were 199,000 days lost from private sector strikes, compared with 278,000 from public sector strikes. In the past four years�2010 to 2014�the number for the private sector had more than halved, to 74,000, whereas the figure for the public sector had more than doubled, to 573,000. Something in this consensus is working in the private sector but not working so well in the public sector. A particular issue is that in three of the past five years one area of the public sector, education, accounted for more than 50% of public sector strikes.","ADEQ","Conservative Party","ADEQ","1.0000","Conservative Party"
"First, on the issue of the 40% additional threshold, I am pleased that the Government are looking at consultation, but the points made about the ability of the union leadership to control and minimise wildcat strikes do carry quite a weight. It would be interesting for the Minister to consider whether the notice period of 14 days before strike action will achieve most of the goals that are seen as required for that 40% threshold. May I encourage the Minister to include in clause 6(1), on information to the certification officer, a provision about the outcome of the industrial action? That information is useful for members, too. If they are asked to go on strike, they should know what the consequence of the strike was�what they achieved by it�so they can see whether such action is playing a good role.","REPLIC","Conservative Party","REPLIC","1.0000","Conservative Party"
"There are extensive new roles for the certification officer, and business would like to be assured that this will not lead to additional disclosure requirements on business in the future. An industrial dispute still has two sides, one may be out on strike but the other side is dealing with that strike. We are placing information requirements on the trade union, but will there be a need for any similar information requirements on or disclosure by business?","ADEQ","Conservative Party","ADEQ","1.0000","Conservative Party"
"will the ministerial team listen carefully to the points that have been made, because we do not want trade unionists going about their business in towns across the country inadvertently finding themselves criminalised? I am sure that that, on its own, would undermine the consensus.","RELATE","Conservative Party","RELATE","1.0000","Conservative Party"
"This is a Bill of naked discrimination against the trade unions, designed to cut the funding of the Labour party severely and, thus, to entrench the Tory party in power, as well as to make it almost impossible to strike in certain industrial sectors.","POLIT","Labour Party","POLIT","1.0000","Labour Party"
"However, it is worth quoting the stated purposes of the Bill, which the Government pretend are their motives. The first is to

�pursue our ambition to become the most prosperous major economy in the world by 2030�.

That is beyond satire. The truth is that after seven years of austerity following the great crash wages are still 6% below pre-crash levels, productivity is flat, the FTSE 100 companies are not investing and household debt is now tipping �2 trillion. The idea that after this Bill we will be overtaking Germany and the United States in the next 15 years is ludicrous.
","ECONOMIC","Labour Party","ECONOMIC","1.0000","Labour Party"
"The Government�s second �reason� for this Bill is to

�ensure hardworking people are not disrupted by little-supported strike action�.

The best answer to that was that given by The Times commentator, Philip Collins, on the day the Bill was presented, on 15 July. He said:

�Strike action, fox hunting, the BBC, Europe, migrant benefits. The Tory ability to identify things that are not problems, then attack them.�","BALANC","Labour Party","BALANC","1.0000","Labour Party"
"The truth is that the number of days lost to strike action now is less than one tenth of what it was in the 1980s. Of far greater importance to the state of the economy is the chronic underinvestment in skills. This Bill, while obnoxious, is utterly irrelevant to the key problems of this country. The tube workers aside, only teachers and firefighters have caused any real national concern since 2010, and even they normally did so only one day at a time. Even the resistance of the National Union of Rail, Maritime and Transport Workers to plans for keeping the underground open all night are not that unreasonable. Night shifts are unsociable, unhealthy and potentially dangerous as they lead to over-tiredness. But the central point here is not acknowledged in the Bill. The Government seem to believe that whenever a strike occurs, it is always the fault of the workers irrespective of what the employer has done.","RELATE","Labour Party","RELATE","1.0000","Labour Party"
"It is true that most employers are probably decent and reasonable, but there are a distinct minority of them who are intransigent and who behave thoroughly unreasonably and badly. To penalise and intimidate workers in such cases, when it is the employer who has overwhelmingly caused the breakdown in industrial relations, is wholly unfair and wrong.","RELATE","Labour Party","RELATE","1.0000","Labour Party"
"The last thing that the workers want to do is to go on strike, but when they have genuine, reasonable and pressing demands over such essential issues such as job losses, safety problems and pay, and those demands are swept to one side, as they often are, with little or no negotiation, they have no alternative but to take industrial action. To blame and penalise them and not bad management, as the Tory party and its pals in the media automatically do, is a total charade.","RELATE","Labour Party","RELATE","1.0000","Labour Party"
"The conditions for industrial action are prohibitive. The net effect of all these measures is to make it impossible to strike.
","ACCESS","Labour Party","ACCESS","1.0000","Labour Party"
"Today, we see that those on the left are at it again. They love a revolution, but this time they could not even convince their Front-Bench Members�well, they are on the Front Bench now�to follow them.","POLIT","Conservative Party","POLIT","1.0000","Conservative Party"
"Saturday�s leadership election result underlined the fact that the policies of Labour�s new Front-Bench team are a clear threat not only to our national security but to our economic recovery. With the increase in union influence that will inevitably follow, this Trade Union Bill will be more relevant than ever before, and I commend the foresight of those Ministers who drafted it.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"The reforms before us will help and support regular union members who come up against the worst excesses of those on the left who put firebrand politics first.
","POLIT","Conservative Party","POLIT","1.0000","Conservative Party"
"We on the Conservative Benches pledged in our manifesto to tackle this issue, and I am pleased that the Conservative Government have put this Bill before the House so speedily. Clause 2 introduces a 50% voting threshold, which is essential to ensure that a small vocal minority is not able to exert undue influence in often quite tense industrial disputes.","REPLIC","Conservative Party","REPLIC","1.0000","Conservative Party"
"It is right that there is a second test, particularly in the more essential public services. Disproportionate disruption can be caused to people who have no say in the calling of that strike. It is important that we ensure that the rights of those who use the service�the public�are taken into account just as much as those who are calling the strike, particularly given the recent tube strikes.","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
"The right hon. Member for Kingston upon Hull West and Hessle (Alan Johnson) talked about inconvenience of the strike, but the truth was that there was massive disruption that cost tens, if not hundreds, of millions of pounds. Such things need to be borne in the mind and dealt with, which is what this Bill seeks to do.","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
"We need to look at minimum service levels. I understand that the Government are looking at the experiences in Italy and Spain, and I encourage them to take that matter forward. It is positive too that we are looking to end the ban on using agency workers. We must ensure that public services are provided for those who have paid for them�the taxpayer. This Bill will help to take our economy forward, and for that reason it has my full support this evening.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"I declare my interest as a member of Unite the union. The Bill exposes the Government�s self-appointed title as the workers� party and their claim to be the party for working people as little more than empty rhetoric devised by the spin doctors at Tory HQ. It is a total misnomer to claim to be the party for working people while simultaneously steamrolling over those very workers� democratic rights and civil liberties","POLIT","Labour Party","POLIT","1.0000","Labour Party"
"�Trade unions have been an essential force for social progress, without which a semblance of a decent and humane society is impossible under capitalism.�

The trade union movement in the UK, independent of the Labour party and with the Labour party, is responsible for the fundamental gains of working people, many of which we now take for granted, including the weekend, maternity leave, the national health service and the national minimum wage.","JUST","Labour Party","JUST","1.0000","Labour Party"
"The role of trade unions in society as a counterweight to the pressures of capital is essential for the protection of decent standards of living as well as a driver of economic growth. ","ECONOMIC","Labour Party","ECONOMIC","1.0000","Labour Party"
"The Government are carrying out this attack on trade unions not for practical reasons supported by evidence, but out of their ideological commitment to fighting the battles of generations past and to pursuing their mission to weaken and destroy the labour and trade union movement.","POLIT","Labour Party","POLIT","1.0000","Labour Party"
"Let us make no mistake about it, the purpose of requiring union members to opt in to political funds is to attack and damage the finances of the Labour party so as to make the Conservative party�s financial advantage even greater than it already is. If this Bill passes, it would break a long-standing consensus in British politics that the Government should not introduce partisan legislation unfairly to disadvantage other political parties.","POLIT","Labour Party","POLIT","1.0000","Labour Party"
"Even Margaret Thatcher, a Prime Minister whose term was defined by her opposition to the trade union movement, considered the proposals such as the ones set out in this Bill to be too extreme. She said that

�legislation on this subject, which would affect the funding of the Labour party, would create great unease and should not be entered into lightly.�","COMPAR","Labour Party","COMPAR","1.0000","Labour Party"
"These proposals are so unreasonable and extreme that they will undoubtedly raise the serious prospect of legal challenge. The interference of the state in the affairs of trade unions is counter to article 11 of the European convention on human rights. We are signatories to the European social charter and as a nation we agreed in article 5 that our national laws would not restrict the freedom of workers to form and join organisations for the protection of their economic and social interests. The Bill directly contravenes our country�s commitment under the charter.","LEGAL","Labour Party","LEGAL","1.0000","Labour Party"
"Our rights were not handed down from above, they were fought for tooth and nail, often against Conservative Governments. Government Members should be aware that those rights will not be given up easily. If the Government continue with their authoritarian plan to abuse their time in office by attacking our democratic rights, they would be wise to remember that for every action there is a reaction.","RIGHTS","Labour Party","RIGHTS","1.0000","Labour Party"
"This is a vindictive Bill that is designed not to address a social, moral or economic priority, but to fundamentally damage political opposition. It is more than a step too far.","POLIT","Labour Party","POLIT","1.0000","Labour Party"
"It is worth remembering, of course, that many of those functions are now fulfilled by Parliament, it has legislated for a national minimum wage, provision for sickness and holiday payments, protection against unfair dismissal and so on. Therefore, many of the injustices that trade unions quite rightly fought against at the outset have now been dealt with by Parliament.","ADEQ","Conservative Party","ADEQ","1.0000","Conservative Party"
"I want to emphasise that the right to strike and the right for trade unions to operate are in no way threatened by the Bill. The right to strike will still exist, as it absolutely should.","RIGHTS","Conservative Party","RIGHTS","1.0000","Conservative Party"
"The hon. Member for Middlesbrough and the right hon. Member for Kingston upon Hull West and Hessle (Alan Johnson) both asked the question, �What is the purpose of this legislation?� Its principal purpose is to protect people who suffer when strikes take place.","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
"Let me quote a lady from Stoke-on-Trent who runs a hairdressing salon and has a child:

�It isn�t fair on parents, who could be missing out on a day�s pay by not working when teachers strike.�
","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
"
Strikes have a profound effect on other members of society, which is why it is appropriate to put in place a reasonable threshold before strike action can be taken. For example, exactly a year ago Unison�s NHS staff voted for strike action on a turnout of 16% and with 11% of the membership voting in favour. I do not think that mandate is strong enough to merit inconveniencing tens of thousands of patients and potentially having operations postponed.","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
"Furthermore, since 2008 there have been 26 strikes on the London underground�I am a London MP, and I have lived in this city all my life. Anyone who claims that the National Union of Rail, Maritime and Transport Workers does not strike lightly has not tried to travel in this city during one of those 26 strikes. I point out that 19 of those strikes would not have happened under this legislation.","ADEQ","Conservative Party","ADEQ","1.0000","Conservative Party"
"But does the hon. Gentleman accept that those strikes have tripled since the Tories took over in London in 2008? It is an absolute disgrace that the Mayor of London has never sat down and met the trade unions and treated them as though they were equal partners or human beings in the same race.","RELATE","Labour Party","RELATE","1.0000","Labour Party"
"I think that it is very unfortunate that the RMT has chosen to be so confrontational.","RELATE","Conservative Party","RELATE","1.0000","Conservative Party"
"I remind those Members who oppose the Bill that a YouGov poll conducted only four weeks ago found that 53% of Londoners are in favour of these measures and only 26% are opposed.","JUST","Conservative Party","JUST","1.0000","Conservative Party"
"Moreover, I challenge  the assertion made by some Opposition Members that union activity does not stoke excessive strike action. It is instructive to compare days lost due to strike action in the private sector, where union membership is relatively low, with days lost in the public sector, where union membership is more widespread. We find that last year the number was 40 times higher in the public sector than it was in the private sector, despite the fact that terms and conditions�pay, holidays and so on�are, if anything, slightly better in the public sector.","POLIT","Conservative Party","POLIT","1.0000","Conservative Party"
"I would like briefly to address the issue of facility time. The TaxPayers Alliance�[Interruption]�which clearly commands widespread support on the Opposition Benches, has calculated that the effective subsidy to unions from the public purse as a result of facility time is �108 million every year. The unions do not necessarily need that money�they have plenty of money to make political donations with�and it is not reasonable for the public purse to fund what is often party political activity.
","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"In conclusion, I think that the Bill is a reasonable, moderate measure that will protect people from the often very disruptive effects of strike action.","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
"This Bill is illegal, illiberal and illiterate: illegal because it contravenes international standards, illiberal because it takes a hatchet to civil liberties, and illiterate because it is badly drafted and will leave the law in a mess, creating uncertainty and cost not only for trade unions, but for employers.","LEGAL","Labour Party","LEGAL","1.0000","Labour Party"
"The reason it is so badly drafted is that it is a crudely partisan measure that the Conservative party is seeking to rush through for purely political ends.","POLIT","Labour Party","POLIT","1.0000","Labour Party"
"Why are we debating the Bill today? Is there any urgency for these provisions, or any demand resulting from the parliamentary timetable? No, there is not. We all know why we are here today. We are here today because the Government deliberately timetabled the Bill�s Second Reading to coincide with the first full day of the Trades Union Congress, when those MPs who are proud trade unionists, as I am, would have been in Brighton talking with working people about the issues that really matter, such as low pay, zero-hours contracts, inequality and insecurity at work. Instead, we are here to discuss this shabby, shameful Bill. That shows the Government�s contempt not only for trade unions, but for democracy.
","POLIT","Labour Party","POLIT","1.0000","Labour Party"
"The Bill was published on 16 July. Consultations were scheduled to take place over the summer recess and closed only five days ago. This debate was scheduled for today even though the Bill is incomplete and the Government have accepted that it will require many amendments. The clearest example of that is on the deduction of union subscriptions. On 6 August the Minister for the Cabinet Office and Paymaster General announced the Government�s intention

�to abolish the practice of checkoff across all public sector organisations�.","REPLIC","Labour Party","REPLIC","1.0000","Labour Party"
"He announced that those changes would be in the Bill, so where are they? Where are the proposals and the draft clauses? They are nowhere to be seen. There is neither a timetable for publication of those clauses, nor a commitment  to any period of consultation. The Bill is a disgraceful attack on the right of employers and unions to freely negotiate arrangements that best secure constructive industrial relations.","RELATE","Labour Party","RELATE","1.0000","Labour Party"
" We recognised a trade union to represent our staff, to collectively bargain on their behalf, to represent their interests and to ensure that we could discuss with them any changes necessary for the continued success of the business in the best interests of staff. To do that, we had check-off and facility time in place. As we have heard from many Members today, deductions from payroll are a common way for employers to help employees with regular payments. Many Members make payments to charity through our payroll and the Independent Parliamentary Standards Authority. It is good enough for them, but it seems that it will not be good enough for trade union members. Check-off arrangements worked for us as an employer and for our staff, and it was freely agreed. Many employers in both the private and public sectors feel the same.
","ADEQ","Labour Party","ADEQ","1.0000","Labour Party"
"I will finish with a point about devolution and the inadequacies of the Bill. The Bill deals with public services that are devolved to Wales, including the way public sector bodies work with trade unions to ensure effective delivery of services to the public, including my constituents in Cardiff Central. Therefore, I ask the Secretary of State to heed the warning from my Labour colleague, the First Minister of Wales, that there are necessary and critically important changes that must be made to the Bill. But I would go further. It is an unnecessary, dangerous and flawed Bill.","REPLIC","Labour Party","REPLIC","1.0000","Labour Party"
"However, trade unions are also powerful, well-funded organisations that must accept that power, wealth and influence come with responsibility and accountability. We must therefore balance their rights with those of  working people, communities and businesses that have the right to expect that the services they rely on day in, day out are not disrupted at short notice by strikes supported by only a small proportion of union members.","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
"Similarly, there must be clear and positive mandates for any disruptive union action, as well as reform of trade union practices such as funding, picketing and use of facility time. This Bill sets out those necessary reforms.","REPLIC","Conservative Party","REPLIC","1.0000","Conservative Party"
"Equally importantly, these Government reforms strengthen Britain�s economic competitiveness on the world stage. Britain is in a global race for success, engaged in a big fight not only with established economies in Europe and north America but fast-growing economies in Asia, Latin America and Africa. To build a strong and growing economy and, in turn, a more prosperous and fair society, we need employers that are open for business, schools and colleges that are not closed by strikes, and transport systems that let our commuters, visitors and shoppers go about their business.
","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"Last-minute strikes and poor trade union practices hurt Britain�s productivity and growth at home and hinder our competitiveness abroad. The reforms in this Bill are welcome, beginning with reform of balloting for strikes. Strikes should only ever be a last resort and held as a result of a clear, positive decision.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"I therefore welcome the measures in the Bill to provide more clarity and democracy. The Bill will improve trade union practices and increase transparency. I particularly commend three measures: first, time-limited mandates, which will improve clarity and democratic legitimacy, secondly, the requirement for a clear description of the planned industrial action, which is fair and reasonable, and thirdly, the proposal for a new, transparent opt-in system for political subscriptions, which is welcome.","AUTONOMY","Conservative Party","AUTONOMY","1.0000","Conservative Party"
"A poll by the Federation of Small Businesses found that last year�s strike action on the London underground cost about �600 million in lost hours, lost business, and lost productivity. Across Britain this year, we have again seen the shut-down of the London underground, strikes on ferries in western Scotland, strikes on trains on the First Great Western network, and strikes on buses in Cardiff, with future strikes potentially affecting the rugby world cup.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"Does my hon. Friend agree that often it is not trade union members in general who cause these strikes to happen, but a very small, politically motivated number of union organisers, and that is why it is right to have the threshold in the Bill?","POLIT","Conservative Party","POLIT","1.0000","Conservative Party"
"It is members of trade unions, who are working people, that the Bill seeks to protect.","REPLIC","Conservative Party","POLIT","0.9112","Conservative Party"
"The cost of this last-minute, poorly supported industrial action is substantial. It hurts our economy at home and hinders our competitiveness on the world stage. If we are to run and win the global race for success in an increasingly competitive global market, we need our shops and businesses to be open, generating wealth, we need our students and apprentices at school or college learning and developing the skills to win, and we need our workers and communities on the move, not stuck at home. We simply cannot afford the lost wealth that poorly supported strikes cause.","ECONOMIC","Labour Party","ECONOMIC","1.0000","Labour Party"
"Trade unions have a constructive role to play, but like all organisations they must modernise, move with the times, and accept that with power and influence comes the need for more accountability and more transparency.","REPLIC","Conservative Party","REPLIC","1.0000","Conservative Party"
"Anyone who has used the London underground will know that the trade unions strike on a whim and compromise the ability of shoppers, businesses and investors to go about their business. That is why it is right that the Bill brings in measures to make sure that that can never happen in future.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"This Bill balances the rights of trade unions with those of working people, commuters and businesses.","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
" It also creates a new framework of industrial relations that allows Britain to grow at home and makes sure our economy is strong while competing and succeeding on the world stage. The Bill deserves the support of the whole House, and I commend it to all hon. Members.","ECONOMIC","Conservative Party","ECONOMIC","1.0000","Conservative Party"
"Even in the modern workplace, there still exists an imbalance of power between the employer, who can decide, often unilaterally, on terms, conditions and pay, and the employee, who is dependent on the employer for work. Individuals who want to negotiate with their employer to improve their lot may not have direct access to them or fear recriminations if they approach them alone. That is well known in this House, as it should be. In a world where there is always someone else available to do a job, potentially for less money, this power structure can lead to poor pay, unsafe conditions, discrimination, and exploitation.","RELATE","Labour Party","RELATE","1.0000","Labour Party"
" We have made changes in this House in relation to employment tribunals and unfair dismissals. The reintroduction of charges on individuals who want to claim for unfair dismissal has reduced the number of such claims by 70%.","ADEQ","Labour Party","ADEQ","1.0000","Labour Party"
"Does my right hon. Friend share my concern that successive Conservative Members have praised trade unions and extolled their virtues and their value, and in the next breath said that they want to restrict their freedoms and abilities to function as trade unions? Does he find that that rings hollow?
","AUTONOMY","Labour Party","AUTONOMY","1.0000","Labour Party"
"The Government would have us believe that they are impartial in passing legislation relating to the balance between employer and employee, but they are not impartial at all. In fact, in their capacity as an employer they have a significant vested interest in undermining the actions  and the future of trade unions. The state is a huge employer, and over 54% of public sector employees belong to a trade union. We should not be surprised that in some parts of this Bill the Government are looking particularly to attack public sector trade unions, because trade unionism now stands more in the public sector than in the private sector.","POLIT","Labour Party","POLIT","1.0000","Labour Party"
"Over the past five years, the relationship between the Government and a number of public sector unions has been particularly difficult. It is called austerity. It is called having your income limited, perhaps when you have a partner and children at home and have to try to keep their heads above water. It is about being called �difficult� when perhaps some of your neighbours who work in the private sector are able to carry on getting their income increased and looking after themselves. That is why there is disgruntlement.","RELATE","Labour Party","RELATE","1.0000","Labour Party"
"I genuinely believe that this Bill is about the Government acting as an employer, not as somebody who is impartial to industrial relations in this country, to attack the public sector and its workforce.
","POLIT","Labour Party","POLIT","1.0000","Labour Party"
"There is little evidence�in fact, there is an overwhelming lack of evidence�that change in this area is needed. The Secretary of State mentioned the Carr review, which was set up in April 2014 and reported in October 2014. It looked at issues of intimidation. Frankly, it was right to do so. However, it found little evidence of intimidation. Nevertheless, on the basis of that report the Government have decided to introduce this legislation.","ADEQ","Labour Party","ADEQ","1.0000","Labour Party"
"The review said:

�I have reached the conclusion that it will simply not be possible for the review to put together a substantial enough body of evidence from which to provide a sound basis for making recommendations for change�.

Yet here we are, a few months later, with the Government attempting to legislate in this area. It is absolutely ridiculous.
","ADEQ","Labour Party","ADEQ","1.0000","Labour Party"
"Individually and cumulatively, these proposals will fundamentally damage the capacity of unions to organise strikes. Many of these are not needed, but having the right to go on strike is an important tool on the table when you are sat down negotiating on behalf of members.","ACCESS","Labour Party","ACCESS","1.0000","Labour Party"
"I understand why trade unionism was right, and my father and his father understood it as well�it is because people used to get killed down the pits on a daily basis until the unions came in and fought for members. This Bill undermines that.","COLLECTIVE","Labour Party","COLLECTIVE","1.0000","Labour Party"
" There is a real need to protect the interests of the public and to ensure that they are as little inconvenienced as possible. I pay tribute to the Fire Brigades Union, which in my experience has always ensured, even when involved in ongoing strike action, that it is done in a responsible manner. That was particularly the case when the fire brigade had to attend a devastating and tragic fire�it led to the deaths of two people�in my constituency last October. It put all its concerns aside to attend to the needs of those who were in great difficulty.
","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
"Surely he agrees that it is far better in the private sector when major companies are prepared to deal with trade unions and give them time to go about their trade union duties. Does he agree that that is more enlightened employment than the stone-age stuff we are getting from the Government?","RELATE","Labour Party","RELATE","1.0000","Labour Party"
"I absolutely agree that it is extremely important to have time to conduct those duties in a responsible manner, but it is also extremely important to protect the interests of the public, particularly those who have to get to work and who need childcare.","BALANC","Conservative Party","BALANC","1.0000","Conservative Party"
"First, I cannot see what the problem is with check-off, provided that the cost of it is paid for. The Staffordshire County Council representatives who operate check-off tell me that the union pays 2% for it, which is probably more than it costs the council to operate it. The same applies in other public services. I have no problem with that and I ask the Government to look again at the issue and perhaps not introduce that proposal.
","REPLIC","Conservative Party","REPLIC","1.0000","Conservative Party"
"I do not see the problem with electronic voting, either. It will eventually be introduced, and if we are to ask for higher turnouts, electronic voting is a must.","REPLIC","Conservative Party","REPLIC","1.0000","Conservative Party"
"Finally, on the political fund, I believe that the right way forward is proper reform of political funding across the board. It is very difficult to do that without a comprehensive solution. I know it was tried in the last Parliament and it did not work, but I urge the Government and the Opposition to sit down and try to sort it out once and for all.","CREATE","Conservative Party","CREATE","1.0000","Conservative Party"
"Thank you, Mr Deputy Speaker, for the opportunity to speak in this debate on a Bill that has, at its heart, substantial and ill-considered threats to some of our most fundamental freedoms.","AUTONOMY","Scottish National Party","AUTONOMY","1.0000","Scottish National Party"
"I rise to speak against this Bill, which does nothing to promote the concept of fair work in employment. It goes to the heart of destroying many rights that were long fought-for by our foremothers and forefathers. Were they to be lost, it would certainly take a very long time to regain them.
","AUTONOMY","Scottish National Party","AUTONOMY","1.0000","Scottish National Party"
"The approach we take in Scotland is fundamentally respectful, acknowledging the overwhelming prevalence and importance of negotiation in trade union activity. That negotiation contributes to improved employment practice and improved outcomes for both the workforce and employers.","RELATE","Scottish National Party","RELATE","1.0000","Scottish National Party"
"I am not the first, and I will not be the last, to say this today, but the contrast could not be greater between the respectful and constructive approach taken in Scotland and in other parts of the UK and the draconian, intrusive, discriminatory, impractical and unnecessary measures the Tory Government have laid before us today","COMPAR","Scottish National Party","COMPAR","1.0000","Scottish National Party"
"Tony Benn once said:

�I think there are two ways in which people are controlled. First of all frighten people and secondly, demoralise them.�

This Bill does both of those things and simultaneously undermines our place in the world as a progressive, democratic family of nations. Slowly but surely, this Tory Government are chipping away at our fundamental civil liberties and human rights.
","JUST","Scottish National Party","JUST","1.0000","Scottish National Party"
"This Bill undermines a number of basic, fundamental human rights.","AUTONOMY","Scottish National Party","AUTONOMY","1.0000","Scottish National Party"
"This Tory Government are not just ideologically driven, but ruthlessly politically opportunistic. They claim to believe in a smaller state in relation to providing public services, but are happy for it to have a very long arm to interfere in the lives of its citizens, especially those who are less powerful or less fortunate.","POLIT","Scottish National Party","POLIT","1.0000","Scottish National Party"
"The history of trade union legislation is probably the most politicised area of legislation. Liberty, one of the UK�s leading civil liberties and human rights organisations, has said of the Bill:

�Ideological motivations of any Government are part and parcel of politics but should not imperil the protection of rights and freedoms of individuals. Yet this relatively short Bill has the potential to cause significant damage to fair and effective industrial relations in this country�and would set a dangerous precedent for the wider curtailment of freedom of assembly and association.�","POLIT","Scottish National Party","POLIT","1.0000","Scottish National Party"
"In essence, this Bill is about restrictions on fundamental freedoms. It introduces increased restrictions on the abilities of trade unions to ballot for strike action, reduces the amount of paid facility time, requires trade unions to become certified by the UK Government for legal protection, and introduces new investigatory powers against trade unions. The Bill introduces measures requiring a 50% threshold and 40% turnout for all ballots declaring strike action. That is the same undemocratic practice that the Conservatives used in the 1979 Scottish devolution referendum.","AUTONOMY","Scottish National Party","AUTONOMY","1.0000","Scottish National Party"
